age,marital status,number of children,ideal number of children,sex,sexual orientation,race,ethinicity,political views,religious preference,religious services attend,abortion opinion,sexual education,homosexual opinion,tv hours,email hours,relax hours,work related racism,work satisfaction,life satisfaction,poor mental health,confidence in government,ballot
-99,Never married,4,2,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",Protestant,3,-100,Favor,-100,8,1,5,2,2,7,0,-100,2
-99,Never married,4,-100,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,.d:  Do not Know/Cannot Choose,Protestant,2,-100,Favor,-100,5,8,0,2,1,8,4,-100,2
-99,Widowed,1,-100,FEMALE,.d:  Do not Know/Cannot Choose,Black,BLACK OR AFRICAN AMERICAN,.n:  No answer,Other,7,-100,.i:  Inapplicable,-99,-100,-100,-100,-100,-100,-100,-100,-100,3
20,Never married,7,2,MALE,.i:  Inapplicable,Other,FILIPINO,Liberal,Hinduism,5,-100,Favor,2,5,-100,-100,-100,-100,-100,-100,-100,1
-99,Married,3,-100,FEMALE,Heterosexual or straight,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",Protestant,8,1,.i:  Inapplicable,1,-100,-100,-100,-100,-100,-100,-100,-100,3
25,Married,0,3,FEMALE,.i:  Inapplicable,White,WHITE,Conservative,Protestant,8,-100,Oppose,1,15,1,4,2,1,9,0,2,1
68,Widowed,2,2,MALE,.i:  Inapplicable,White,WHITE,Extremely conservative,None,0,1,Favor,4,7,1,-98,2,1,-98,0,-100,1
38,Never married,2,2,MALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",Protestant,4,-100,Favor,-100,5,0,5,2,1,-98,0,-100,2
22,Never married,0,2,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",Protestant,6,-100,Favor,4,7,4,-100,-100,-100,-100,-100,-100,1
32,Never married,0,2,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,Slightly liberal,None,0,1,Favor,4,5,2,2,2,1,7,5,-100,1
35,Married,1,2,MALE,Heterosexual or straight,Other,OTHER ASIAN,Slightly liberal,Muslim/islam,3,-100,Favor,-100,1,4,1,2,2,6,0,1,2
44,Married,0,3,MALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",Protestant,7,2,Favor,1,10,15,3,2,3,6,0,-100,1
49,Never married,1,2,MALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",Protestant,6,-100,Favor,-100,5,5,3,2,1,10,3,3,2
-99,Married,2,-100,MALE,.i:  Inapplicable,Other,HISPANIC,"Moderate, middle of the road",None,0,1,.i:  Inapplicable,3,-100,-100,-100,-100,1,-100,-100,-100,3
43,Married,3,-100,MALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",Catholic,6,1,.i:  Inapplicable,4,-100,-100,0,2,3,9,0,-100,3
40,Never married,2,2,FEMALE,Heterosexual or straight,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",Protestant,3,-100,Favor,-100,1,20,1,1,2,10,0,-100,2
62,Separated,2,3,FEMALE,.i:  Inapplicable,White,WHITE,Conservative,Protestant,5,-100,Favor,3,3,4,5,2,3,7,0,1,1
-99,Divorced,2,-100,MALE,.i:  Inapplicable,White,WHITE,Liberal,Protestant,2,1,Favor,4,2,25,6,2,2,8,0,-100,1
55,Married,2,-100,FEMALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",None,0,1,.i:  Inapplicable,3,-100,-100,-100,-100,-100,-100,-100,-100,3
31,Married,2,3,FEMALE,"Gay, lesbian, or homosexual",Other,OTHER ASIAN,"Moderate, middle of the road",Muslim/islam,8,-100,Oppose,-100,2,2,-100,-100,1,-100,-100,1,2
68,Divorced,2,2,FEMALE,.i:  Inapplicable,White,WHITE,Extremely liberal,None,0,1,Favor,4,4,14,-100,-100,-100,-100,-100,1,1
-99,Never married,0,2,FEMALE,.i:  Inapplicable,White,WHITE,Extremely conservative,.n:  No answer,0,-100,Favor,-100,-98,-98,-100,-100,-100,-100,-100,-100,2
73,Married,1,8,MALE,.i:  Inapplicable,White,WHITE,Slightly conservative,Protestant,5,-100,Favor,3,5,6,-100,-100,-100,-100,-100,-100,1
74,Divorced,0,-100,MALE,Heterosexual or straight,White,WHITE,Conservative,Protestant,5,2,.i:  Inapplicable,1,-100,-100,-100,-100,-100,-100,-100,-100,3
69,Married,2,-100,FEMALE,Heterosexual or straight,White,WHITE,Liberal,Jewish,2,-100,.i:  Inapplicable,4,-100,-100,-100,-100,-100,-100,-100,1,3
78,Married,4,8,FEMALE,.i:  Inapplicable,White,WHITE,Slightly liberal,None,0,1,Favor,4,6,0,-100,-100,-100,-100,-100,-100,1
58,Married,5,5,FEMALE,.i:  Inapplicable,White,WHITE,Conservative,Protestant,6,2,Favor,1,6,0,-100,-100,-100,-100,-100,-100,1
66,Married,2,2,MALE,Heterosexual or straight,White,WHITE,Extremely conservative,Protestant,2,-100,Favor,-100,2,4,-100,-100,2,-100,-100,-100,2
21,Never married,0,-100,MALE,Heterosexual or straight,White,WHITE,Conservative,Protestant,6,2,.i:  Inapplicable,1,-100,-100,-100,-100,-100,-100,-100,-100,3
43,Married,-100,2,FEMALE,.i:  Inapplicable,White,WHITE,Extremely conservative,Catholic,4,-100,Favor,-100,-99,-99,-99,2,1,8,-98,-100,2
62,Married,2,8,MALE,.i:  Inapplicable,White,WHITE,Conservative,Protestant,3,-100,Oppose,-100,3,15,3,2,1,10,0,-100,2
40,Married,4,8,MALE,.i:  Inapplicable,White,WHITE,Conservative,Catholic,3,-100,Favor,4,1,10,2,2,2,8,0,1,1
37,Married,1,-100,MALE,Heterosexual or straight,White,WHITE,Conservative,Protestant,6,2,.i:  Inapplicable,1,-100,-100,7,2,1,8,2,-100,3
68,Married,1,2,MALE,.i:  Inapplicable,White,WHITE,Slightly conservative,Protestant,3,-100,Favor,-100,10,2,-100,-100,-100,-100,-100,-100,2
39,Married,1,-100,MALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",Protestant,3,-100,.i:  Inapplicable,1,-100,-100,1,2,1,10,10,-100,3
42,Married,2,2,FEMALE,.i:  Inapplicable,.i:  Inapplicable,.n:  No answer,Slightly liberal,None,1,-100,Favor,4,1,8,2,2,2,8,5,2,1
37,Married,4,-100,FEMALE,Heterosexual or straight,Other,VIETNAMESE,Slightly liberal,Catholic,6,1,.i:  Inapplicable,4,-100,-100,0,2,1,9,5,-100,3
61,Married,0,2,FEMALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",Catholic,0,-100,Favor,-100,4,30,5,2,2,10,0,-100,2
69,Married,2,-100,FEMALE,Heterosexual or straight,Other,KOREAN,"Moderate, middle of the road",Protestant,7,2,.i:  Inapplicable,1,-100,-100,-100,-100,-100,-100,-100,-100,3
71,Divorced,2,-100,FEMALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",Catholic,3,2,.i:  Inapplicable,4,-100,-100,4,2,2,7,0,-100,3
73,Divorced,2,8,FEMALE,Heterosexual or straight,White,WHITE,Slightly liberal,Catholic,2,-100,Favor,-100,8,7,-100,-100,-100,-100,-100,-100,2
64,Married,4,-100,MALE,Heterosexual or straight,White,WHITE,Extremely conservative,Protestant,7,2,.i:  Inapplicable,1,-100,-100,3,2,1,9,10,3,3
70,Married,1,2,MALE,.i:  Inapplicable,White,WHITE,Conservative,Protestant,4,-100,Oppose,-100,6,1,8,2,2,9,0,-100,2
70,Divorced,1,2,MALE,Heterosexual or straight,White,WHITE,Conservative,Protestant,7,-100,Favor,-100,6,15,-100,-100,-100,-100,-100,-100,2
55,Married,4,-100,FEMALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",Catholic,7,2,.i:  Inapplicable,1,-100,-100,4,2,1,-98,0,-100,3
69,Divorced,0,-100,MALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",Protestant,5,-100,.i:  Inapplicable,1,-100,-100,-100,-100,-100,-100,-100,-100,3
50,Married,3,3,MALE,.i:  Inapplicable,White,WHITE,Extremely conservative,Protestant,2,-100,Favor,-100,2,1,2,2,1,10,0,-100,2
41,Married,3,3,MALE,.i:  Inapplicable,White,WHITE,Extremely conservative,Protestant,7,-100,Favor,1,1,0,1,2,1,10,0,-100,1
77,Widowed,2,2,FEMALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",Protestant,1,-100,Favor,-100,7,2,-100,-100,-100,-100,-100,-100,2
56,Divorced,1,-100,FEMALE,Heterosexual or straight,White,WHITE,Liberal,None,0,1,.i:  Inapplicable,4,-100,-100,4,2,2,9,1,2,3
56,Married,0,3,MALE,.i:  Inapplicable,White,WHITE,Extremely conservative,Protestant,0,2,Favor,1,3,0,4,2,2,8,0,-100,1
19,Never married,3,0,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,Extremely conservative,None,0,-100,Oppose,4,0,0,-100,-100,-100,-100,-100,-100,1
40,Married,2,8,MALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",Christian,7,-100,Favor,1,1,30,12,1,1,9,0,1,1
41,Married,4,8,MALE,.i:  Inapplicable,Other,SOME OTHER RACE,"Moderate, middle of the road",None,0,-100,Favor,-98,4,2,-98,2,2,9,0,-100,1
72,Never married,1,-100,FEMALE,Heterosexual or straight,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",Protestant,7,-100,.i:  Inapplicable,1,-100,-100,-100,-100,-100,-100,-100,-100,3
20,Never married,0,-100,FEMALE,Heterosexual or straight,White,WHITE,Liberal,None,2,-100,.i:  Inapplicable,4,-100,-100,-100,-100,-100,-100,-100,-100,3
54,Never married,2,-100,MALE,Heterosexual or straight,White,WHITE,Slightly conservative,Protestant,0,2,.i:  Inapplicable,3,-100,-100,2,2,4,8,0,-100,3
33,Separated,0,3,FEMALE,.i:  Inapplicable,White,WHITE,Liberal,None,0,2,Favor,4,3,2,2,2,2,7,15,-100,1
40,Married,0,2,FEMALE,.i:  Inapplicable,White,WHITE,Slightly conservative,Protestant,6,-100,Oppose,-100,4,10,3,2,2,8,-97,-100,2
-99,Married,3,3,.n:  No answer,.i:  Inapplicable,White,WHITE,Conservative,Catholic,3,2,Oppose,1,4,-99,-100,-100,2,-100,-100,-100,1
-99,Married,2,-100,MALE,Heterosexual or straight,White,WHITE,Extremely conservative,Protestant,8,-99,.i:  Inapplicable,1,-100,-100,-100,-100,-100,-100,-100,-100,3
70,Married,3,2,FEMALE,.i:  Inapplicable,Other,ASIAN INDIAN,.d:  Do not Know/Cannot Choose,Hinduism,2,-100,Favor,-100,3,0,-100,-100,-100,-100,-100,1,2
32,Never married,1,8,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,Slightly conservative,Christian,3,-100,Oppose,-100,0,3,-100,-100,3,-100,-100,3,2
-99,Married,2,8,FEMALE,.i:  Inapplicable,Other,HISPANIC,Liberal,Protestant,7,-100,Favor,4,5,1,4,1,3,9,5,2,1
18,Never married,0,3,FEMALE,.i:  Inapplicable,White,WHITE,Conservative,None,2,-100,Favor,-100,3,1,-100,-100,2,-100,-100,-100,2
54,Married,3,8,FEMALE,.i:  Inapplicable,White,WHITE,Conservative,Protestant,7,2,Favor,1,1,2,4,2,1,10,0,-100,1
65,Married,2,-100,MALE,.i:  Inapplicable,White,WHITE,Slightly liberal,Catholic,2,-100,.i:  Inapplicable,4,-100,-100,3,2,2,8,-99,-100,3
66,Married,0,-100,FEMALE,Heterosexual or straight,White,WHITE,Conservative,None,0,-100,.i:  Inapplicable,4,-100,-100,-100,-100,-100,-100,-100,3,3
54,Divorced,0,4,FEMALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",Other,0,-100,Favor,-100,8,0,-100,-100,4,-100,-100,3,2
47,Married,2,2,FEMALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",None,1,-100,Favor,4,1,25,1,2,4,6,15,-100,1
40,Never married,0,5,FEMALE,.i:  Inapplicable,Other,AMERICAN INDIAN OR ALASKA NATIVE,Slightly conservative,Christian,2,2,Favor,4,0,18,4,1,1,8,5,-100,1
32,Married,2,-100,FEMALE,.i:  Inapplicable,White,WHITE,Conservative,Christian,2,-100,Favor,-100,1,6,1,2,1,10,0,-100,2
67,Widowed,3,2,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",Protestant,8,-100,Favor,-100,3,0,-100,-100,-100,-100,-100,-100,2
61,Married,2,-100,MALE,Heterosexual or straight,White,WHITE,Slightly conservative,None,0,-100,.i:  Inapplicable,4,-100,-100,6,2,1,10,0,-100,3
84,Widowed,5,-100,MALE,Heterosexual or straight,White,WHITE,Conservative,Catholic,7,-100,.i:  Inapplicable,1,-100,-100,-100,-100,-100,-100,-100,2,3
39,Married,2,8,FEMALE,.i:  Inapplicable,Other,AMERICAN INDIAN OR ALASKA NATIVE,Liberal,None,2,-100,Favor,4,2,3,4,1,1,9,0,-100,1
28,Married,3,8,MALE,.i:  Inapplicable,White,WHITE,Slightly liberal,None,0,-100,Favor,4,2,4,10,2,2,6,4,2,1
60,Married,2,2,MALE,.i:  Inapplicable,White,WHITE,Slightly conservative,Catholic,2,2,Favor,3,3,25,3,2,1,8,0,-100,1
68,Divorced,2,2,FEMALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",Protestant,4,-100,Favor,4,4,25,18,2,4,7,5,3,1
64,Married,4,-100,FEMALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",Protestant,7,-100,.i:  Inapplicable,1,-100,-100,-100,-100,-100,-100,-100,3,3
57,Divorced,1,1,MALE,.i:  Inapplicable,Other,AMERICAN INDIAN OR ALASKA NATIVE,"Moderate, middle of the road",Protestant,3,2,Favor,1,20,0,14,2,2,4,0,-100,1
48,#N/A,2,-100,FEMALE,.i:  Inapplicable,White,WHITE,Conservative,Protestant,6,2,.i:  Inapplicable,3,-100,-100,-100,-100,1,-100,-100,-100,3
69,Married,2,-100,FEMALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",Protestant,0,-100,.i:  Inapplicable,4,-100,-100,3,2,4,-98,0,-100,3
55,Married,2,-100,MALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",Protestant,0,2,.i:  Inapplicable,1,-100,-100,-100,-100,-100,-100,-100,-100,3
60,Married,2,-100,MALE,Heterosexual or straight,White,WHITE,Conservative,Protestant,8,2,.i:  Inapplicable,4,-100,-100,2,2,2,9,0,3,3
79,Divorced,3,-100,MALE,Bisexual,White,WHITE,Liberal,Buddhism,1,1,.i:  Inapplicable,3,-100,-100,-100,-100,-100,-100,-100,1,3
41,Married,3,2,MALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",None,0,-100,Favor,4,1,14,1,2,1,7,10,-100,1
61,Divorced,1,2,FEMALE,.i:  Inapplicable,White,WHITE,Liberal,None,0,-100,Favor,-100,3,30,3,2,3,5,7,1,2
84,Divorced,4,8,FEMALE,.i:  Inapplicable,White,WHITE,Liberal,None,0,1,Favor,4,3,1,-100,-100,-100,-100,-100,-100,1
-99,Widowed,1,-100,FEMALE,Heterosexual or straight,White,WHITE,Conservative,Protestant,7,-100,.i:  Inapplicable,1,-100,-100,-100,-100,-100,-100,-100,-100,3
28,Never married,0,-100,MALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",None,0,-100,.i:  Inapplicable,4,-100,-100,3,2,-97,8,12,2,3
42,Married,0,0,MALE,.i:  Inapplicable,White,WHITE,Liberal,None,0,1,Favor,4,1,3,3,2,1,6,0,-100,1
36,Never married,0,-100,MALE,"Gay, lesbian, or homosexual",White,WHITE,Slightly liberal,None,1,-100,Favor,-100,2,25,3,2,1,8,12,1,2
62,Married,1,2,FEMALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",Jewish,3,-100,Favor,4,6,30,-100,-100,-100,-100,-100,1,1
60,Married,3,3,MALE,.i:  Inapplicable,White,WHITE,Slightly conservative,Catholic,4,-100,Favor,4,2,0,3,2,2,9,0,2,1
59,Married,1,2,FEMALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",None,1,-100,Favor,-100,2,1,0,2,2,9,5,-100,2
22,Never married,0,8,FEMALE,.i:  Inapplicable,White,WHITE,Liberal,None,0,-100,Favor,4,1,8,3,2,1,7,20,-100,1
69,Married,2,2,MALE,.i:  Inapplicable,White,WHITE,Extremely liberal,Jewish,2,-100,Favor,-100,10,10,3,2,2,9,2,-100,2
72,Divorced,2,-100,MALE,Heterosexual or straight,White,WHITE,Conservative,Catholic,6,-100,.i:  Inapplicable,1,-100,-100,-100,-100,-100,-100,-100,2,3
76,Married,2,3,MALE,Heterosexual or straight,White,WHITE,Conservative,Catholic,1,-100,Favor,-100,3,3,-100,-100,-100,-100,-100,-100,2
22,Never married,0,8,MALE,Heterosexual or straight,White,WHITE,Slightly conservative,Protestant,2,-100,Favor,-100,2,3,-100,-100,-100,-100,-100,-100,2
54,Married,4,2,FEMALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",Catholic,4,-100,.d:  Do not Know/Cannot Choose,-100,2,2,3,2,1,9,5,-100,2
-99,Widowed,3,-100,FEMALE,.i:  Inapplicable,White,WHITE,Slightly conservative,Catholic,2,-100,Favor,-100,4,0,-100,-100,-100,-100,-100,-100,2
69,Married,1,2,MALE,.i:  Inapplicable,White,WHITE,Slightly conservative,Buddhism,0,-100,.n:  No answer,4,2,0,8,2,2,6,0,-100,1
85,Widowed,3,-100,FEMALE,Heterosexual or straight,White,WHITE,Extremely conservative,Protestant,7,-100,.i:  Inapplicable,1,-100,-100,-100,-100,-100,-100,-100,-100,3
-99,Never married,0,8,.n:  No answer,.i:  Inapplicable,Other,HISPANIC,Slightly liberal,Protestant,3,-100,Favor,-100,2,-99,-100,-100,-100,-100,-100,-100,2
58,Married,3,3,MALE,.i:  Inapplicable,White,WHITE,Slightly conservative,Catholic,6,-100,Favor,4,3,18,5,2,1,10,0,-100,1
37,Married,1,2,FEMALE,.i:  Inapplicable,White,WHITE,Slightly liberal,Buddhism,0,1,Favor,3,1,5,-100,-100,2,-100,-100,2,1
20,Never married,0,-100,MALE,Heterosexual or straight,White,WHITE,Liberal,None,0,1,.i:  Inapplicable,4,-100,-100,-100,-100,3,-100,-100,-100,3
64,Married,2,2,FEMALE,.i:  Inapplicable,White,WHITE,Liberal,Jewish,1,1,Favor,4,3,15,3,2,3,6,3,1,1
42,Married,2,-100,FEMALE,Heterosexual or straight,Other,ASIAN INDIAN,"Moderate, middle of the road",Hinduism,3,-100,.i:  Inapplicable,4,-100,-100,-100,-100,3,-100,-100,2,3
65,Married,3,3,MALE,Heterosexual or straight,White,WHITE,Conservative,Protestant,6,-100,Favor,-100,3,2,-100,-100,-100,-100,-100,-100,2
39,Married,1,1,FEMALE,.i:  Inapplicable,White,WHITE,Slightly liberal,Catholic,1,1,Favor,4,3,30,1,2,2,9,2,2,1
54,Married,2,-100,FEMALE,Heterosexual or straight,White,WHITE,Liberal,Catholic,2,1,.i:  Inapplicable,3,-100,-100,-100,-100,-100,-100,-100,1,3
-99,Married,-100,8,MALE,.i:  Inapplicable,White,WHITE,Slightly liberal,Catholic,2,-100,Favor,4,1,2,3,2,2,9,0,-100,1
76,Married,2,8,MALE,.i:  Inapplicable,White,WHITE,Slightly conservative,Catholic,1,-100,Favor,-100,5,2,-100,-100,-100,-100,-100,2,2
68,Married,2,2,MALE,.i:  Inapplicable,White,WHITE,Slightly conservative,Protestant,3,2,Oppose,-98,3,1,-100,-100,-100,-100,-100,-100,1
58,Married,2,8,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,Liberal,Catholic,3,-100,Favor,4,3,2,5,2,1,9,0,-100,1
63,Divorced,2,-100,MALE,Heterosexual or straight,Other,OTHER ASIAN,Slightly conservative,None,0,1,.i:  Inapplicable,2,-100,-100,-100,-100,-100,-100,-100,-100,3
21,Never married,0,8,FEMALE,.i:  Inapplicable,White,WHITE,Slightly liberal,Protestant,4,-100,Favor,4,2,1,3,2,2,10,0,2,1
26,Married,0,1,FEMALE,.i:  Inapplicable,Other,HISPANIC,"Moderate, middle of the road",None,0,-100,Favor,-100,0,40,6,2,1,-98,0,1,2
34,Never married,0,2,MALE,.i:  Inapplicable,White,WHITE,Extremely liberal,None,0,-100,Favor,-100,2,0,3,2,2,5,6,1,2
34,Never married,0,2,MALE,.i:  Inapplicable,White,WHITE,Extremely liberal,None,0,-100,Favor,4,2,12,4,2,2,9,0,-100,1
23,Never married,0,8,FEMALE,.i:  Inapplicable,White,WHITE,Conservative,Catholic,6,2,Favor,3,1,0,-100,-100,-100,-100,-100,3,1
32,Never married,0,3,FEMALE,.i:  Inapplicable,Other,CHINESE,Liberal,None,2,-100,Favor,4,1,0,5,2,3,6,2,-100,1
26,Divorced,0,8,MALE,.i:  Inapplicable,White,WHITE,Slightly liberal,None,0,-100,Favor,4,0,3,-100,-100,-100,-100,-100,2,1
76,Widowed,1,-100,FEMALE,Heterosexual or straight,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",Protestant,7,-100,.i:  Inapplicable,1,-100,-100,-100,-100,-100,-100,-100,-100,3
22,Never married,1,-100,FEMALE,"Gay, lesbian, or homosexual",Black,BLACK OR AFRICAN AMERICAN,Extremely conservative,Protestant,5,1,.i:  Inapplicable,4,-100,-100,-100,-100,3,-100,-100,2,3
67,Never married,0,3,MALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,Slightly conservative,Protestant,8,2,Favor,1,6,5,-100,-100,-100,-100,-100,1,1
35,Never married,0,-100,FEMALE,Heterosexual or straight,Black,BLACK OR AFRICAN AMERICAN,Slightly liberal,Protestant,4,-100,.i:  Inapplicable,4,-100,-100,4,2,2,9,5,-100,3
40,Never married,7,-100,FEMALE,Heterosexual or straight,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",Protestant,1,-100,.i:  Inapplicable,1,-100,-100,5,2,2,10,0,-100,3
53,Never married,0,3,MALE,Heterosexual or straight,Black,BLACK OR AFRICAN AMERICAN,Slightly liberal,Protestant,8,-100,Favor,-100,2,1,3,2,2,7,10,-100,2
63,Never married,0,-100,MALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,Liberal,Protestant,7,-100,.i:  Inapplicable,1,-100,-100,-100,-100,1,-100,-100,-100,3
72,Married,2,2,MALE,.i:  Inapplicable,Other,ASIAN INDIAN,"Moderate, middle of the road",Hinduism,7,2,Favor,2,2,8,0,2,1,8,0,-100,1
67,Widowed,3,4,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",Protestant,5,-100,Favor,-100,3,1,-100,-100,-100,-100,-100,2,2
-99,Married,0,-100,MALE,.i:  Inapplicable,White,WHITE,Slightly liberal,Other,0,1,.i:  Inapplicable,4,-100,-100,8,2,2,10,-98,-100,3
51,Married,2,-100,FEMALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",Protestant,2,-100,.i:  Inapplicable,4,-100,-100,4,2,2,9,0,1,3
54,Married,2,2,MALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",None,0,2,Favor,4,2,0,0,2,2,5,30,-100,1
75,Married,1,2,MALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",Protestant,7,-100,Favor,-100,4,1,-100,-100,-100,-100,-100,1,2
28,Married,3,-100,FEMALE,Heterosexual or straight,Other,SOME OTHER RACE,"Moderate, middle of the road",None,1,-100,.i:  Inapplicable,4,-100,-100,-100,-100,-100,-100,-100,3,3
-99,Never married,1,8,FEMALE,.i:  Inapplicable,White,WHITE,Slightly conservative,Christian,7,-100,Favor,4,2,-98,3,2,2,-98,0,-100,1
-99,Never married,0,3,FEMALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",Catholic,4,-100,Favor,-100,2,25,3,2,1,9,0,-100,2
75,Divorced,6,2,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,Extremely liberal,Protestant,5,-100,Favor,-100,4,1,-100,-100,-100,-100,-100,1,2
82,Divorced,4,-100,FEMALE,Heterosexual or straight,White,WHITE,Liberal,None,1,-100,.i:  Inapplicable,4,-100,-100,-100,-100,1,-100,-100,-100,3
-99,Never married,-100,8,FEMALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",.d:  Do not Know/Cannot Choose,0,-100,Favor,-100,2,10,-100,-100,1,-100,-100,-100,2
49,Married,2,2,MALE,.i:  Inapplicable,Other,ASIAN INDIAN,"Moderate, middle of the road",Other eastern religions,3,-100,Favor,-100,2,0,-100,-100,2,-100,-100,-100,2
27,Never married,8,1,MALE,.i:  Inapplicable,White,WHITE,Extremely conservative,None,2,1,.s:  Skipped on Web,4,5,0,-97,-97,2,-97,-97,3,1
57,Married,4,8,FEMALE,.i:  Inapplicable,White,WHITE,Extremely conservative,Protestant,7,-100,Oppose,1,1,7,3,2,1,10,2,-100,1
33,Never married,0,2,MALE,Heterosexual or straight,White,WHITE,Conservative,Catholic,0,-100,Favor,-100,2,8,4,2,4,3,30,3,2
59,Married,4,3,FEMALE,.i:  Inapplicable,White,WHITE,Extremely conservative,Protestant,7,-100,Oppose,1,2,0,4,2,1,9,0,-100,1
68,Married,0,0,MALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",Catholic,0,-100,Favor,-100,5,2,-100,-100,-100,-100,-100,2,2
63,Married,2,2,MALE,.i:  Inapplicable,White,WHITE,Slightly liberal,Catholic,3,-100,Favor,-100,6,1,1,2,2,8,0,-100,2
37,Married,2,2,FEMALE,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,"Moderate, middle of the road",None,0,-100,Favor,4,3,1,-100,-100,1,-100,-100,-100,1
76,Married,2,2,MALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",None,1,-100,Favor,-100,4,6,-100,-100,-100,-100,-100,2,2
70,Married,0,3,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,Liberal,Protestant,8,-100,Favor,-100,6,10,-100,-100,-100,-100,-100,-100,2
70,Married,4,-100,FEMALE,Heterosexual or straight,Black,BLACK OR AFRICAN AMERICAN,Extremely liberal,Protestant,7,-100,.i:  Inapplicable,4,-100,-100,-100,-100,-100,-100,-100,-100,3
42,Never married,5,4,MALE,Heterosexual or straight,Black,BLACK OR AFRICAN AMERICAN,Slightly liberal,None,2,-100,Favor,-100,1,3,2,2,2,7,0,3,2
42,Never married,2,-100,FEMALE,Heterosexual or straight,Black,BLACK OR AFRICAN AMERICAN,Slightly liberal,Protestant,5,1,.i:  Inapplicable,-98,-100,-100,3,2,2,8,0,-100,3
65,Married,3,3,MALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",Protestant,5,1,Favor,2,12,4,-100,-100,-100,-100,-100,1,1
45,Married,0,3,FEMALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",Protestant,0,2,Favor,4,2,0,3,2,1,9,1,1,1
49,Married,3,4,MALE,.i:  Inapplicable,White,WHITE,Slightly conservative,Catholic,0,-100,Favor,2,2,0,-100,-100,1,-100,-100,3,1
75,Married,2,2,FEMALE,.i:  Inapplicable,White,WHITE,Slightly conservative,Protestant,6,2,Favor,1,10,10,-100,-100,-100,-100,-100,3,1
37,Widowed,5,8,FEMALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",None,0,-100,Favor,4,0,0,20,2,3,5,30,-100,1
